特征,XGB重要性
T2_剂油比,0.10722231
T1_反应温度,0.09123809
FM8_氨水沉淀稀土,0.06354956
FM2_APM-7,0.054142483
Z3_MASY,0.046367638
L13_微活,0.0456291
Z7_HRSY-5,0.039293118
FM4_薄水,0.03647555
FZ8_氧化钇,0.03611556
M1-2_S-2土,0.03598594
FZ6_MgO,0.035266094
Z2_RDSY,0.034812387
L1_Na,0.033483796
FM7_基质稀土,0.03306408
Z6_HRSY-4,0.029619647
M3-1_山西拟薄,0.028007708
Z5_HRSY-3,0.027537216
M4_铝溶胶,0.02525486
L3_RE,0.024125777
FZ3_低硅ZSM-5,0.023565741
FZ4_SA-5,0.0227939
M1-1_S-1土,0.018018685
L7_强度,0.017998094
M1-3_茂名土,0.017831711
oil_原料油,0.016159698
Z4_HRSY-1,0.013167194
M5_多孔,0.010667636
M2_埃洛石,0.009862325
Z10_GUSY-2,0.008453434
FZ2_高硅ZSM-5,0.007439219
L2_P,0.006851452
