特征,XGB重要性
T2_剂油比,0.11276897
Z5_HRSY-3,0.10594294
T1_反应温度,0.09719386
M5_多孔,0.07910313
Z3_MASY,0.06626421
FM7_基质稀土,0.06506356
FM8_氨水沉淀稀土,0.05341256
M4_铝溶胶,0.049287893
M1-2_S-2土,0.038724504
Z2_RDSY,0.03620966
M1-1_S-1土,0.035321113
Z4_HRSY-1,0.03281846
FM2_APM-7,0.032458544
M3-1_山西拟薄,0.030705597
L1_Na,0.029539546
FZ4_SA-5,0.023606384
FZ3_低硅ZSM-5,0.020177469
M1-3_茂名土,0.016988212
M2_埃洛石,0.015293496
FM4_薄水,0.015176559
Z6_HRSY-4,0.010901
FZ6_MgO,0.010252473
FZ2_高硅ZSM-5,0.007589886
L7_强度,0.003660218
FZ8_氧化钇,0.0035019913
Z7_HRSY-5,0.0019367085
L3_RE,0.0019330868
Z10_GUSY-2,0.0016779875
oil_原料油,0.0014534242
L13_微活,0.0005804943
L2_P,0.00045602038
