特征,XGB重要性
Z6_HRSY-4,0.27231306
L13_微活,0.18224624
M5_多孔,0.17072558
Z4_HRSY-1,0.16744082
L2_P,0.061795767
L3_RE,0.032792587
L1_Na,0.030762067
FZ4_SA-5,0.027034832
M1-2_S-2土,0.020276038
Z5_HRSY-3,0.010056775
M4_铝溶胶,0.0036727146
M3-1_山西拟薄,0.0028639496
FM7_基质稀土,0.002452611
FM8_氨水沉淀稀土,0.0023579742
L7_强度,0.0016026532
FZ8_氧化钇,0.0015683433
FZ2_高硅ZSM-5,0.0011916666
Z10_GUSY-2,0.0010847328
T1_反应温度,0.0010168961
FZ6_MgO,0.0009039449
Z2_RDSY,0.00079787424
Z3_MASY,0.00068402925
M1-1_S-1土,0.0006722224
M1-3_茂名土,0.0006391445
FM2_APM-7,0.00060811784
FM4_薄水,0.0005743977
FZ3_低硅ZSM-5,0.000556185
T2_剂油比,0.00051665737
M2_埃洛石,0.0003160994
Z7_HRSY-5,0.00030543213
oil_原料油,0.00017044648
