特征,XGB重要性
T2_剂油比,0.6116612
T1_反应温度,0.30664685
FM8_氨水沉淀稀土,0.008286429
FZ2_高硅ZSM-5,0.0059946636
Z6_HRSY-4,0.005284153
FZ8_氧化钇,0.0049993093
FM4_薄水,0.0043204613
L3_RE,0.0041721375
M5_多孔,0.0040461416
FM2_APM-7,0.0033740127
M1-3_茂名土,0.0033390722
Z7_HRSY-5,0.003162448
L1_Na,0.0029260053
oil_原料油,0.0028030288
FM7_基质稀土,0.0027750812
FZ6_MgO,0.0025628414
Z10_GUSY-2,0.0023009954
FZ4_SA-5,0.00217451
L13_微活,0.0020860867
M4_铝溶胶,0.0020461255
M3-1_山西拟薄,0.0020384996
M1-2_S-2土,0.001828214
Z5_HRSY-3,0.0016401352
Z3_MASY,0.0016086906
Z4_HRSY-1,0.0014486869
Z2_RDSY,0.0013644194
M1-1_S-1土,0.0013584498
M2_埃洛石,0.0010577728
L7_强度,0.0009470608
FZ3_低硅ZSM-5,0.00087632105
L2_P,0.0008702063
