特征,XGB重要性
T2_剂油比,0.5196732
T1_反应温度,0.31654534
M5_多孔,0.03031147
Z6_HRSY-4,0.022965323
L2_P,0.01465394
L13_微活,0.008930939
FM8_氨水沉淀稀土,0.0082257595
M3-1_山西拟薄,0.00703158
L3_RE,0.005768903
FZ8_氧化钇,0.0050414833
FZ2_高硅ZSM-5,0.004155309
FZ4_SA-5,0.0041178623
Z4_HRSY-1,0.003999608
M1-3_茂名土,0.0038284282
M4_铝溶胶,0.003555448
Z2_RDSY,0.0034639298
Z7_HRSY-5,0.0034541513
FZ6_MgO,0.0033643225
M1-1_S-1土,0.0032561135
FM2_APM-7,0.0031390665
FM7_基质稀土,0.0029806674
FM4_薄水,0.0027653726
M1-2_S-2土,0.0026572736
Z3_MASY,0.0026050974
L7_强度,0.002365467
FZ3_低硅ZSM-5,0.0020479115
oil_原料油,0.0019869574
Z5_HRSY-3,0.0019056808
L1_Na,0.0018955321
Z10_GUSY-2,0.0018148927
M2_埃洛石,0.0014928915
