特征,XGB重要性
T2_剂油比,0.47923428
T1_反应温度,0.36842945
Z5_HRSY-3,0.050650258
Z3_MASY,0.034335364
M1-1_S-1土,0.01687435
Z2_RDSY,0.006972386
FZ4_SA-5,0.004729281
Z4_HRSY-1,0.0045524533
M4_铝溶胶,0.004534988
FZ2_高硅ZSM-5,0.0032942481
M3-1_山西拟薄,0.0024656884
FM8_氨水沉淀稀土,0.0024406805
oil_原料油,0.002260457
FM4_薄水,0.0022587415
Z6_HRSY-4,0.0022517792
M1-2_S-2土,0.001980539
FZ3_低硅ZSM-5,0.001975477
L1_Na,0.0016036148
FZ8_氧化钇,0.0011041285
L13_微活,0.0010782456
M5_多孔,0.0010239115
Z10_GUSY-2,0.0009789785
FM2_APM-7,0.00085267494
FM7_基质稀土,0.00078126433
Z7_HRSY-5,0.00073463307
L2_P,0.00059207785
M1-3_茂名土,0.000513507
M2_埃洛石,0.0004410084
FZ6_MgO,0.00039762474
L7_强度,0.00035710388
L3_RE,0.00030085532
