特征,XGB重要性
T2_剂油比,0.61876816
T1_反应温度,0.33837584
FM8_氨水沉淀稀土,0.0053063543
FZ2_高硅ZSM-5,0.0038524242
FM4_薄水,0.0027148046
L1_Na,0.0026794525
Z6_HRSY-4,0.0019273255
FZ8_氧化钇,0.001871118
Z3_MASY,0.0016119462
FM2_APM-7,0.0015601752
M1-2_S-2土,0.0015524338
FM7_基质稀土,0.0015053375
L3_RE,0.0013878141
FZ4_SA-5,0.0013859891
M4_铝溶胶,0.0013159867
M1-3_茂名土,0.0013004417
Z5_HRSY-3,0.0011892336
oil_原料油,0.0011502112
Z7_HRSY-5,0.0011489311
FZ6_MgO,0.0011059332
M1-1_S-1土,0.00103134
Z4_HRSY-1,0.001028874
M3-1_山西拟薄,0.0010079992
Z2_RDSY,0.0010077005
L13_微活,0.0008915155
M5_多孔,0.00072789274
M2_埃洛石,0.0006144064
FZ3_低硅ZSM-5,0.00054823194
Z10_GUSY-2,0.00052319537
L2_P,0.0004583371
L7_强度,0.00045065768
