特征,XGB重要性
T2_剂油比,0.10284127
FM4_薄水,0.084138855
FM8_氨水沉淀稀土,0.0732648
T1_反应温度,0.07050282
L13_微活,0.058745876
L1_Na,0.050568894
FZ8_氧化钇,0.04753619
M1-2_S-2土,0.043433826
FM2_APM-7,0.039774615
Z7_HRSY-5,0.038349874
Z2_RDSY,0.03546071
Z3_MASY,0.032604974
Z6_HRSY-4,0.03233224
FZ4_SA-5,0.028674329
FZ3_低硅ZSM-5,0.026530288
M4_铝溶胶,0.021080554
FZ6_MgO,0.020613432
Z4_HRSY-1,0.018059742
M1-3_茂名土,0.017528016
L2_P,0.016894847
L3_RE,0.016644266
L7_强度,0.015911743
FM7_基质稀土,0.015275707
M3-1_山西拟薄,0.015147207
M2_埃洛石,0.014185984
Z5_HRSY-3,0.013443091
Z10_GUSY-2,0.012958548
M1-1_S-1土,0.010767088
FZ2_高硅ZSM-5,0.009635685
oil_原料油,0.009346147
M5_多孔,0.007748365
