特征,XGB重要性
T2_剂油比,0.38229296
T1_反应温度,0.25383505
FZ4_SA-5,0.080932066
FZ3_低硅ZSM-5,0.04015888
M5_多孔,0.0371749
Z6_HRSY-4,0.018789822
FZ6_MgO,0.012495917
Z2_RDSY,0.0120345205
M3-1_山西拟薄,0.011091743
FZ2_高硅ZSM-5,0.011076766
Z7_HRSY-5,0.01105719
L2_P,0.010093041
oil_原料油,0.009510604
M4_铝溶胶,0.009275081
FM8_氨水沉淀稀土,0.0092337625
L13_微活,0.008821994
FM4_薄水,0.008638781
FM2_APM-7,0.008237268
L3_RE,0.0062921336
FM7_基质稀土,0.005900487
M1-2_S-2土,0.00584733
Z10_GUSY-2,0.005734433
M2_埃洛石,0.005701938
Z4_HRSY-1,0.00559424
FZ8_氧化钇,0.004918462
Z5_HRSY-3,0.004683841
Z3_MASY,0.0044767857
L1_Na,0.004464339
M1-1_S-1土,0.004224943
M1-3_茂名土,0.0041673286
L7_强度,0.0032434266
