特征,XGB重要性
T2_剂油比,0.15190455
FZ8_氧化钇,0.062009286
T1_反应温度,0.06175437
L13_微活,0.055491947
FZ6_MgO,0.054918747
FM2_APM-7,0.048503596
Z6_HRSY-4,0.04187967
FM4_薄水,0.03948241
FM8_氨水沉淀稀土,0.03433092
Z3_MASY,0.034219526
Z2_RDSY,0.032794196
M5_多孔,0.032502625
Z7_HRSY-5,0.029814573
L2_P,0.026681568
Z4_HRSY-1,0.025201946
L1_Na,0.02449456
M1-2_S-2土,0.02299164
M4_铝溶胶,0.020856967
oil_原料油,0.019738888
M3-1_山西拟薄,0.019522658
FZ3_低硅ZSM-5,0.018352743
L3_RE,0.01826379
Z5_HRSY-3,0.017532075
FZ4_SA-5,0.016943661
Z10_GUSY-2,0.016504336
FM7_基质稀土,0.014653773
M1-3_茂名土,0.013665689
M2_埃洛石,0.013109304
M1-1_S-1土,0.012525992
FZ2_高硅ZSM-5,0.011029974
L7_强度,0.008324081
