特征,XGB重要性
T2_剂油比,0.25889447
T1_反应温度,0.07458225
FZ8_氧化钇,0.05361063
L13_微活,0.047586177
Z6_HRSY-4,0.040452283
FM2_APM-7,0.039616197
Z2_RDSY,0.037639193
Z3_MASY,0.032535113
FZ6_MgO,0.031030646
FM4_薄水,0.029267179
Z7_HRSY-5,0.026263542
FZ4_SA-5,0.02618434
L1_Na,0.026106372
FM8_氨水沉淀稀土,0.025292933
Z4_HRSY-1,0.02161911
L3_RE,0.021295473
M4_铝溶胶,0.019126957
M3-1_山西拟薄,0.018162457
FZ3_低硅ZSM-5,0.018105607
Z5_HRSY-3,0.016310776
M2_埃洛石,0.015466236
M1-2_S-2土,0.015455185
oil_原料油,0.015435078
M5_多孔,0.014564645
FM7_基质稀土,0.012973851
Z10_GUSY-2,0.012672347
L2_P,0.012138599
M1-1_S-1土,0.009819803
FZ2_高硅ZSM-5,0.009815393
L7_强度,0.009806073
M1-3_茂名土,0.0081710275
