特征,XGB重要性
T2_剂油比,0.16976024
T1_反应温度,0.11814039
M5_多孔,0.09634046
FZ4_SA-5,0.085541494
L2_P,0.08546094
FZ3_低硅ZSM-5,0.03971887
Z6_HRSY-4,0.039487593
FZ2_高硅ZSM-5,0.03021523
Z2_RDSY,0.02726255
Z7_HRSY-5,0.022662472
L13_微活,0.021470483
L3_RE,0.020870665
FM7_基质稀土,0.020326968
M3-1_山西拟薄,0.018089788
FZ8_氧化钇,0.01761905
FM2_APM-7,0.01664776
M4_铝溶胶,0.016157126
FZ6_MgO,0.015683785
Z10_GUSY-2,0.015461104
FM8_氨水沉淀稀土,0.013836228
M1-2_S-2土,0.012988876
L1_Na,0.012342463
Z4_HRSY-1,0.011890132
M1-3_茂名土,0.011718788
Z5_HRSY-3,0.0115698
M1-1_S-1土,0.010983095
M2_埃洛石,0.009038427
Z3_MASY,0.008725856
oil_原料油,0.008557191
FM4_薄水,0.006884875
L7_强度,0.004547318
