特征,XGB重要性
T2_剂油比,0.27035487
T1_反应温度,0.12767166
M5_多孔,0.0899983
FZ4_SA-5,0.04817137
Z2_RDSY,0.044115953
FZ8_氧化钇,0.040113613
FZ6_MgO,0.033030298
M3-1_山西拟薄,0.030430403
FZ3_低硅ZSM-5,0.02819086
Z6_HRSY-4,0.026504748
Z7_HRSY-5,0.022939375
FM7_基质稀土,0.02075828
FM2_APM-7,0.019731164
Z5_HRSY-3,0.018322283
FM8_氨水沉淀稀土,0.017174182
M1-3_茂名土,0.01661522
L3_RE,0.015718963
Z3_MASY,0.014563405
M4_铝溶胶,0.013524587
Z10_GUSY-2,0.013467472
oil_原料油,0.011876954
M1-1_S-1土,0.011761877
L1_Na,0.009246901
FZ2_高硅ZSM-5,0.008447955
M2_埃洛石,0.008351029
FM4_薄水,0.0080073
M1-2_S-2土,0.007932515
L13_微活,0.0069882255
L2_P,0.006622868
Z4_HRSY-1,0.006003034
L7_强度,0.003364392
