特征,XGB重要性
T2_剂油比,0.0955016
FZ4_SA-5,0.09265816
T1_反应温度,0.08825931
L2_P,0.07306499
FZ3_低硅ZSM-5,0.06269541
Z10_GUSY-2,0.058102272
M5_多孔,0.056001544
FZ6_MgO,0.042358473
M1-3_茂名土,0.037911568
Z2_RDSY,0.034645032
FZ2_高硅ZSM-5,0.028744286
Z6_HRSY-4,0.028274449
FM2_APM-7,0.02718148
M4_铝溶胶,0.026296921
Z7_HRSY-5,0.0224922
Z5_HRSY-3,0.020207822
M3-1_山西拟薄,0.019701546
L1_Na,0.018269232
L3_RE,0.016627444
M1-1_S-1土,0.01574186
FM7_基质稀土,0.015208536
FM8_氨水沉淀稀土,0.015070662
M1-2_S-2土,0.014362406
FZ8_氧化钇,0.013005874
oil_原料油,0.012913604
Z4_HRSY-1,0.012357239
M2_埃洛石,0.012136413
L13_微活,0.011568966
L7_强度,0.011567553
FM4_薄水,0.008809348
Z3_MASY,0.008263813
