特征,XGB重要性
T2_剂油比,0.11779161
FZ4_SA-5,0.11125027
T1_反应温度,0.080766566
FZ3_低硅ZSM-5,0.07746456
M5_多孔,0.040525984
oil_原料油,0.03920458
M1-3_茂名土,0.036482114
Z2_RDSY,0.033115223
FZ2_高硅ZSM-5,0.032775864
Z6_HRSY-4,0.03262403
Z7_HRSY-5,0.032137927
M4_铝溶胶,0.031624943
FZ6_MgO,0.0301776
FM7_基质稀土,0.026753752
FM2_APM-7,0.025083328
L3_RE,0.024363417
Z10_GUSY-2,0.022909801
FM8_氨水沉淀稀土,0.021537323
L13_微活,0.019982267
M3-1_山西拟薄,0.0199167
FZ8_氧化钇,0.017520811
Z4_HRSY-1,0.016987996
M1-2_S-2土,0.016349848
M1-1_S-1土,0.014392011
M2_埃洛石,0.014074923
L7_强度,0.012508685
Z5_HRSY-3,0.012454159
L1_Na,0.011521833
FM4_薄水,0.010450124
Z3_MASY,0.009689084
L2_P,0.007562652
