特征,XGB重要性
T2_剂油比,0.33735818
T1_反应温度,0.14412169
FZ4_SA-5,0.06339556
M5_多孔,0.053298198
FZ3_低硅ZSM-5,0.04436866
Z2_RDSY,0.031138305
FZ8_氧化钇,0.024622478
Z6_HRSY-4,0.023064476
Z7_HRSY-5,0.021354474
M3-1_山西拟薄,0.019167488
FM7_基质稀土,0.019143073
FM2_APM-7,0.018618995
M1-3_茂名土,0.016907375
FZ6_MgO,0.015522232
L3_RE,0.015167684
M4_铝溶胶,0.014589148
FZ2_高硅ZSM-5,0.014425284
FM8_氨水沉淀稀土,0.013778314
Z10_GUSY-2,0.012973558
Z3_MASY,0.011304846
oil_原料油,0.011177168
Z5_HRSY-3,0.010900101
M1-1_S-1土,0.009342878
L2_P,0.009335029
M1-2_S-2土,0.009313933
L1_Na,0.008590491
FM4_薄水,0.0073371544
Z4_HRSY-1,0.0064941687
L13_微活,0.0059280833
M2_埃洛石,0.0048695845
L7_强度,0.0023913304
