特征,XGB重要性
T2_剂油比,0.15043235
FZ4_SA-5,0.13712908
FZ2_高硅ZSM-5,0.08811642
FZ3_低硅ZSM-5,0.08515897
T1_反应温度,0.05328327
FM4_薄水,0.048657168
L13_微活,0.045878112
M5_多孔,0.039340705
Z6_HRSY-4,0.034084935
L7_强度,0.02725043
Z7_HRSY-5,0.020004896
Z2_RDSY,0.018051054
M4_铝溶胶,0.017873326
M2_埃洛石,0.017242417
Z4_HRSY-1,0.016776247
FM8_氨水沉淀稀土,0.016164942
M1-2_S-2土,0.015349964
oil_原料油,0.01494259
FZ8_氧化钇,0.013606476
M3-1_山西拟薄,0.013475159
L2_P,0.0134420935
Z3_MASY,0.012634125
M1-3_茂名土,0.0121275745
FZ6_MgO,0.011823851
FM7_基质稀土,0.011687878
Z10_GUSY-2,0.011238566
L1_Na,0.011203321
L3_RE,0.010893855
FM2_APM-7,0.01088753
Z5_HRSY-3,0.010779418
M1-1_S-1土,0.010463283
