特征,XGB重要性
T2_剂油比,0.48531598
T1_反应温度,0.1178964
FZ4_SA-5,0.054390635
FZ6_MgO,0.035914123
M5_多孔,0.02916589
FZ3_低硅ZSM-5,0.028176615
Z3_MASY,0.019226918
FZ8_氧化钇,0.016045496
Z5_HRSY-3,0.014201141
Z6_HRSY-4,0.013453529
FZ2_高硅ZSM-5,0.013250183
L13_微活,0.013228196
Z2_RDSY,0.013055859
M4_铝溶胶,0.010932162
FM8_氨水沉淀稀土,0.010827653
M3-1_山西拟薄,0.010244654
M1-2_S-2土,0.009650481
L3_RE,0.009526971
M1-3_茂名土,0.009215968
FM4_薄水,0.00903531
Z4_HRSY-1,0.009005508
L1_Na,0.008816794
L2_P,0.00864367
L7_强度,0.008311129
Z7_HRSY-5,0.008195675
FM7_基质稀土,0.0072012823
M1-1_S-1土,0.007076553
Z10_GUSY-2,0.0059470427
FM2_APM-7,0.0051268195
M2_埃洛石,0.0045611463
oil_原料油,0.0043602088
