特征,XGB重要性
T2_剂油比,0.08482998
FZ8_氧化钇,0.07470917
Z2_RDSY,0.06423067
L13_微活,0.059925836
FZ6_MgO,0.05850509
T1_反应温度,0.04855162
Z3_MASY,0.04574683
M5_多孔,0.033812203
L7_强度,0.03341707
FM4_薄水,0.032719184
FM2_APM-7,0.030229947
Z4_HRSY-1,0.029131465
FZ3_低硅ZSM-5,0.029121697
FZ4_SA-5,0.027676772
Z5_HRSY-3,0.027656822
M2_埃洛石,0.027232524
Z6_HRSY-4,0.025086278
M3-1_山西拟薄,0.024312172
FM8_氨水沉淀稀土,0.024215281
M4_铝溶胶,0.023807144
FM7_基质稀土,0.023575705
L3_RE,0.023297278
FZ2_高硅ZSM-5,0.021756504
Z7_HRSY-5,0.021460952
M1-2_S-2土,0.019985948
L1_Na,0.017730853
M1-1_S-1土,0.016724376
L2_P,0.013767692
M1-3_茂名土,0.012908364
oil_原料油,0.012272267
Z10_GUSY-2,0.011602337
