特征,XGB重要性
T2_剂油比,0.09313934
FZ6_MgO,0.06517081
L13_微活,0.062106546
L7_强度,0.061528347
FZ8_氧化钇,0.056027725
T1_反应温度,0.05112576
FZ3_低硅ZSM-5,0.047880385
L3_RE,0.046349894
Z2_RDSY,0.04448821
M1-1_S-1土,0.036485694
Z6_HRSY-4,0.034625486
FZ4_SA-5,0.032532193
Z3_MASY,0.031581063
Z5_HRSY-3,0.027983807
M4_铝溶胶,0.027178891
FM2_APM-7,0.026878681
FM7_基质稀土,0.026760567
M2_埃洛石,0.026505385
Z4_HRSY-1,0.024223637
FM4_薄水,0.021201873
M3-1_山西拟薄,0.020495731
M1-2_S-2土,0.017742218
FM8_氨水沉淀稀土,0.01733269
Z7_HRSY-5,0.01647627
M1-3_茂名土,0.015821699
M5_多孔,0.014951509
L1_Na,0.014736759
oil_原料油,0.013234714
Z10_GUSY-2,0.010824195
FZ2_高硅ZSM-5,0.009833069
L2_P,0.0047769095
