特征,XGB重要性
T2_剂油比,0.35922313
T1_反应温度,0.10790124
L3_RE,0.085231185
Z3_MASY,0.07769815
FZ4_SA-5,0.045691382
L1_Na,0.036372084
M1-1_S-1土,0.028966129
FZ3_低硅ZSM-5,0.028759237
M1-3_茂名土,0.023886312
FM8_氨水沉淀稀土,0.018900568
M5_多孔,0.017164655
FM4_薄水,0.015671596
Z6_HRSY-4,0.014845379
L7_强度,0.013294017
M1-2_S-2土,0.011949155
M4_铝溶胶,0.011025442
L13_微活,0.010779624
FZ2_高硅ZSM-5,0.009859238
Z7_HRSY-5,0.009757298
FM2_APM-7,0.009087006
M3-1_山西拟薄,0.008166522
Z2_RDSY,0.008039557
FZ6_MgO,0.0061332094
FM7_基质稀土,0.006117687
Z10_GUSY-2,0.005806517
Z5_HRSY-3,0.005679617
Z4_HRSY-1,0.005561342
L2_P,0.0053999242
FZ8_氧化钇,0.0050228974
M2_埃洛石,0.0044268304
oil_原料油,0.003583024
