特征,XGB重要性
T2_剂油比,0.28423688
T1_反应温度,0.17486797
L3_RE,0.094673894
Z3_MASY,0.047169466
FZ8_氧化钇,0.029076418
M1-1_S-1土,0.02880455
FZ6_MgO,0.028055165
FZ3_低硅ZSM-5,0.02242685
M5_多孔,0.020803353
L1_Na,0.019955631
M1-3_茂名土,0.019560965
Z5_HRSY-3,0.017933933
FZ4_SA-5,0.01742854
Z4_HRSY-1,0.015631568
L13_微活,0.0154083455
Z2_RDSY,0.0144952135
M4_铝溶胶,0.014133809
Z6_HRSY-4,0.013443637
FM8_氨水沉淀稀土,0.013374637
M1-2_S-2土,0.0118945725
FM2_APM-7,0.011554593
M2_埃洛石,0.011269268
FM4_薄水,0.011263314
FM7_基质稀土,0.010643966
Z10_GUSY-2,0.010292812
M3-1_山西拟薄,0.008662033
Z7_HRSY-5,0.008212183
oil_原料油,0.00811092
L7_强度,0.006504947
FZ2_高硅ZSM-5,0.0053126724
L2_P,0.004797789
