特征,XGB重要性
FZ6_MgO,0.07702966
FZ8_氧化钇,0.07527046
T2_剂油比,0.06628189
Z2_RDSY,0.058615386
L13_微活,0.053080704
FZ3_低硅ZSM-5,0.052658178
T1_反应温度,0.045534063
Z3_MASY,0.04399022
Z6_HRSY-4,0.040482253
FZ4_SA-5,0.03612798
FM2_APM-7,0.031315938
M2_埃洛石,0.031108309
M4_铝溶胶,0.030571219
FM4_薄水,0.029460182
M3-1_山西拟薄,0.029057723
M1-1_S-1土,0.026314635
Z5_HRSY-3,0.026087884
Z4_HRSY-1,0.025088536
FM7_基质稀土,0.024616767
FZ2_高硅ZSM-5,0.024255438
L3_RE,0.02115587
FM8_氨水沉淀稀土,0.020703932
M1-2_S-2土,0.019858556
L7_强度,0.018028239
M5_多孔,0.017801557
M1-3_茂名土,0.01576601
L1_Na,0.015472666
Z7_HRSY-5,0.014858042
oil_原料油,0.012799328
Z10_GUSY-2,0.012728053
L2_P,0.003880342
